Molecule,Molecule name
O=C(c1cc(ccc1)C(C(=O)O)C)c2ccccc2,C16H14O3
O=C(O)C(=O)CCC(=O)O,C5H6O5
O=C(N(CC)CC)[C@@H]1C=C2c3c4c([nH]cc4C[C@H]2N(C1)C)ccc3,C20H25N3O
O1[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]([C@H]1CO)O,C12H22O11
C(\C=C\C=C(\CCC=C(C)C)/C)(=C\C=C\C(=C\C=C\C=C(\C=C\C=C(\C=C\C=C(\CCC=C(C)C)/C)/C)/C)\C)/C,C40H56
OC,CH4O
O1c2c(O)ccc3c2[C@@]45[C@@H]1[C@@H](O)C=C[C@H]4[C@H](N(C)CC5)C3,C17H19NO3
O=C(C(c1ccccc1)(c2ccccc2)CC(N(C)C)C)CC,C21H27NO
O=[N+]([O-])[O-],NO3
O=[N+](OC(CO[N+](=O)[O-])CO[N+](=O)[O-])[O-],C3H5N3O9
O=[N+](O)[O-],HNO3
O=C(N)c1cnccc1,C6H6N2O
O=[N+]=O,NO2
[O+](=O)[O-],O3
[O+]([O-])[O-],O3
O=C1[C@@H]2Oc3c(OC)ccc4c3[C@]25[C@](O)([C@H](N(C)CC5)C4)CC1,C18H21NO4
C(C)C,C3H8
n1c2nc[nH]c2cnc1,C5H4N4
n1cnccc1,C4H4N2
n1ccccc1,C5H5N
Oc1ccccc1,C6H6O
N1(C2(c3ccccc3)CCCCC2)CCCCC1,C17H25N
OC1CCN(C2(c3ccccc3)CCCCC2)CC1,C17H25NO
OC1CCC(N2CCCCC2)(c3ccccc3)CC1,C17H25NO
O=C(O)CCCCNC1(c2ccccc2)CCCCC1,C17H25NO2
N1CCCCC1,C5H11N
O(c1cc2c(nccc2[C@@H](O)[C@H]3N4C[C@H](C=C)[C@H](C3)CC4)cc1)C,C20H24N2O2
O=c1nc-2n(c3c(cc(C)c(c3)C)nc2c([nH]1)=O)C[C@H](O)[C@H](O)[C@H](O)CO,C17H20N4O6
O=C(O)c1c(O)cccc1,C7H6O3
Oc1cc2c([nH]cc2CCN)cc1,C10H12N2O
O=C(O[C@@H]1C[C@H]2N(C)[C@@H](C1)[C@H]3[C@@H]2O3)[C@@H](c4ccccc4)CO,C17H21NO4
O=C1c2c(O)cccc2[C@](O)(C)[C@@H]3C1=C(O)[C@]4(O)C(=O)C(=C(O)[C@H]([C@@H]4C3)N(C)C)C(=O)N,C22H24N2O8
O=[N+]([O-])c1c(c([N+](=O)[O-])cc(c1)[N+](=O)[O-])C,C7H5N3O6
c1(ccccc1)C,C7H8
O=C1C=C2[C@]([C@@H]3[C@H]([C@H]4[C@]([C@@H](O)CC4)(C)CC3)CC2)(C)CC1,C19H28O2
O=c1n(c2ncn(c2c([nH]1)=O)C)C,C7H8N4O2
O=C(O)[C@@H](N)Cc1ccc(O)cc1,C9H11NO3
O1c2c(OC)ccc3c2[C@@]45[C@@H]1C(OC)=CC=C4[C@H](N(C)CC5)C3,C19H21NO3
O=C(N)N,CH4N2O
O=C1NC(O)NC=2C1=NC(=O)N2,C5H4N4O3
O=C1[C@]2([C@@H]([C@@]3(OC(=O)C)[C@H](OC3)C[C@@H]2O)[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@@H](C(=C([C@H]1OC(=O)C)C5(C)C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C,C47H51NO14
[O-][N+]#N,N2O
O=C(O)c1cnccc1,C6H5NO2
n1cc(ccc1)[C@H]2N(CCC2)C,C10H14N2
n1c(N)c2N=C[N]c2nc1,C5H4N5
n1c(N)c2nc[nH]c2nc1,C5H5N5
O=C(O)C1NCCC1,C5H9NO2
O=c1[nH]c(=O)cc[nH]1,C4H4N2O2
O(c1c(OC)cc(CCN)cc1OC)C,C11H17NO3
N#C,CHN
O=[N+](OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])[O-],C5H8N4O12
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,C15H12N2O2
Oc1c(O)ccc(c1)CCN,C8H11NO2
[OH3+],H3O
O1[C@@](O)([C@@H](O)[C@@H]([C@H]1CO)O)CO,C6H12O6
O=C1/C(/Nc2c1cccc2)=C/3\Nc4ccccc4C3=O,C16H10N2O2
O=C(O)[C@H]1NC[C@@H]([C@@H]1CC(=O)O)/C(=C\C=C\[C@H](C(=O)O)C)/C,C15H21NO6
O1[C@H](O[C@@]2(O[C@H](CO)[C@H]([C@@H]2O)O)CO)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO)O,C12H22O11
O=C1NC(=O)CCC1N2C(=O)c3ccccc3C2=O,C13H10N2O4
O=C(O)O,CH2O3
NCCCCN,C4H12N2
NCCCCCN,C5H14N2
Oc1nc(O)c2[nH]cnc2n1,C5H4N4O2
O[C@@H]1CC2=CC=C3[C@H]4[C@]([C@@H]([C@@H](CCCC(C)C)C)CC4)(C)CC[C@@H]3[C@@]2(C)CC1,C27H44O
O=C(NCCC(=O)O)C(O)C(CO)(C)C,C9H17NO5
O=C(NCCC(=O)O)[C@H](O)C(CO)(C)C,C9H17NO5
O=C(NCCC(=O)O)[C@@H](O)C(CO)(C)C,C9H17NO5
OC/C=C(/C=C/C=C(/C=C/C1=C(CCCC1(C)C)C)\C)\C,C20H30O
O=c1[nH]c(nc2c1nc(cn2)CNc3ccc(C(=O)N[C@H](C(=O)O)CCC(=O)O)cc3)N,C19H19N7O6
O=C(O)C(O)(CC(=O)O)CC(=O)O,C6H8O7
C12=C3C=4C=5C=6C7=C8C9=C%10C%11=C7C5C%12=C%13C4C1=C%14C=%15C%16=C%17C%18=C%19C%20=C%16C%14=C%13C%21=C%20C%22=C(C%11=C%12%21)C%10=C%23C%24=C9C=%25C8=C%26C6C3=C%27C%26=C%28C%25C=%29C=%30C%28=C%31C%27=C2C%15C%31=C%17C%30C%18=C(C%29%24)C%23=C%19%22,C60
O=C(N)C=C,C3H5NO
O[C@H]([C@@H](O)[C@H](O)CO)C(O)CO,C6H14O6
O1[C@H](O)[C@H](O)[C@@H](O)[C@H]([C@H]1CO)O,C6H12O6
OCC(CO)(CO)CO,C5H12O4
O=[N+]([O-])N(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])C,C7H5N5O8
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN(C1)[N+](=O)[O-],C4H8N8O8
O=C(NCc1cc(OC)c(O)cc1)CCCC/C=C/C(C)C,C18H27NO3
O=C(O)C(CCC)CCC,C8H16O2
O=C(O)[C@@H](N)Cc1c2c(cccc2)[nH]c1,C11H12N2O2
O=C(O)CCC(=O)NN(C)C,C6H12N2O3
O=c1[nH]c(=O)c(C)c[nH]1,C5H6N2O2
[H][H],H2
n1c2c(cc3c1cccc3)cccc2,C13H9N
O=C(O[C@H]1[C@@]2(O)[C@@H](OC)[C@H](O)[C@]3([C@@H]1[C@H]([C@]45[C@@H](OC)C[C@@H](O)[C@@]6([C@H]4[C@H]([C@H]3C5N(C6)CC)OC)COC)C2)OC(=O)C)c7ccccc7,C34H47NO11
O=C(OC1[C@@]2(O)[C@@H](OC)[C@H](O)[C@]3([C@@H]1[C@H]([C@]45[C@@H](OC)C[C@@H](O)[C@@]6(C4[C@H]([C@@H]3[C@H]5N(C6)C)OC)COC)C2)OC(=O)C)c7ccccc7,C33H45NO11
C=1C=CCC1,C5H6
O1c2c(c(O)cc(c2)CCCCC)[C@@H]3C=C(C)CC[C@H]3C1(C)C,C21H30O2
O=CC[C@H](O)[C@H](O)CO,C5H10O4
O=C[C@H](O)[C@H](O)[C@H](O)CO,C5H10O5
O=C(NCCCC[C@H](N)C(=O)O)[C@@H]1N=CC[C@H]1C,C12H21N3O3
O=c1n(c(=O)c2[nH]cnc2n1C)C,C7H8N4O2
O=C(O)[C@@H](N)C,C3H7NO2
O=C(O)C(N)C,C3H7NO2
O=C(O)C(N)CC(=O)O,C4H7NO4
O=C(O)C(N)CCC(=O)O,C5H9NO4
O=C(O)[C@@H](N)Cc1nc[nH]c1,C6H9N3O2
O=C(O)[C@@H](N)[C@H](CC)C,C6H13NO2
O=C(O)C(N)CCCCN,C6H14N2O2
O=C(O)[C@@H](N)CC(C)C,C6H13NO2
O=C(O)[C@@H](N)CC(=O)N,C4H8N2O3
O=C(O)C(N)CCC(=O)N,C5H10N2O3
O=C(O)C(N)CCCNC(=N)N,C6H14N4O2
O=C(O)[C@@H](N)CO,C3H7NO3
O=C(O)[C@@H](N)[C@H](O)C,C4H9NO3
O=C(O)[C@@H](N)C(C)C,C5H11NO2
[nH]1c2c(cccc2)c(c1)CC(N)C,C11H14N2
O=C,CH2O
N#CC,C2H3N
Oc1nc(N)n(c1)C,C4H7N3O
O=[N+]([O-])c1c(O)c([N+](=O)[O-])cc(c1)[N+](=O)[O-],C6H3N3O7
O=CO,CH2O2
O=C1C=C2[C@]([C@@H]3[C@H]([C@H]4[C@]([C@@H](C(=O)C)CC4)(C)CC3)CC2)(C)CC1,C21H30O2
O[C@@H](c1ccccc1)[C@@H](NC)C,C10H15NO
O=C1N/C(=C/c2[nH]c(Cc3[nH]c(/C=C\4/NC(=O)C(=C4C=C)C)c(c3CCC(=O)O)C)c(c2C)CCC(=O)O)/C(=C1C=C)C,C33H36N4O6
O=C1N/C(=C\c2[nH]c(Cc3[nH]c(/C=C/4\NC(=O)C(=C4C=C)C)c(c3CCC(=O)O)C)c(c2C)CCC(=O)O)/C(=C1C=C)C,C33H36N4O6
[NH4+],H4N
O=C(c1ccccc1)C,C8H8O
NN,H4N2
O=C1C(=O)C=C2C(O)CN(C2=C1)C,C9H9NO3
O=C(N)c1nn([C@@H]2O[C@H](CO)[C@H]([C@H]2O)O)cn1,C8H12N4O5
O=C=NC,C2H3NO
O=C(O)C(O)C(O)C(=O)O,C4H6O6
O=[C]C,C2H3O
O=C(O)C(=O)C,C3H4O3
O=C(O)CC(=O)C,C4H6O3
O=C(Nc1ccc(O)cc1)C,C8H9NO2
Oc1c(cc(C)cc1C(C)(C)C)C(C)(C)C,C15H24O
O(c1c(cc(O)cc1)C(C)(C)C)C.O(c1cc(c(O)cc1)C(C)(C)C)C,C22H32O4
O=c1nc(N)ccn1[C@@H]2O[C@H](CO)[C@H]([C@H]2O)O,C9H13N3O5
O=c1nc(N)ccn1[C@@H]2O[C@H](CO)[C@H](C2)O,C9H13N3O4
O=c1nc([nH]c2c1ncn2[C@@H]3O[C@H](CO)[C@H](C3)O)N,C10H13N5O4
O=c1n(ccc([nH]1)=O)[C@@H]2O[C@H](CO)[C@H]([C@H]2O)O,C9H12N2O6
O1[C@@H](n2c3ncnc(c3nc2)N)[C@H](O)[C@@H]([C@H]1CO)O,C10H13N5O4
O1[C@@H](n2c3ncnc(c3nc2)N)C[C@@H]([C@H]1CO)O,C10H13N5O3
O=c1nc[nH]c2c1ncn2[C@@H]3O[C@H](CO)[C@H]([C@H]3O)O,C10H12N4O5
O=c1nc[nH]c2c1[nH]cn2,C5H4N4O
O=c1n(ccc([nH]1)=O)[C@@H]2O[C@H](CO)[C@H](C2)O,C9H12N2O5
O=CC,C2H4O
O=c1n(cc(C)c([nH]1)=O)[C@@H]2O[C@H](CO)[C@H](C2)O,C10H14N2O5
[CH3],CH3
O=c1ncc(C)c([nH]1)N,C5H7N3O
O=C(O)[C@@H](N)CCCN,C5H12N2O2
O=C(NCCCC(N)C(=O)O)N,C6H13N3O3
O=[N+]([O-])[O-].[NH4+],H4N2O3
O=C(O)CCC(=O)O,C4H6O4
C(C=C)(=C)C,C5H8
O=C1C(OC)=C(OC)C(=O)C(=C1C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C)\C)\C)\C)\C)\C)\C)C,C59H90O4
O1c2c(O)c(O)ccc2C3c4cc(O)c(cc4C[C@@]3(C1)O)O,C16H14O6
c12c(cccc1)cccc2,C10H8
O(c1c(OC)cc(Cc2c(nc(N)nc2)N)cc1OC)C,C14H18N4O3
O=C(NCCO)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,C22H37NO2
C(CCC)CC,C6H14
O=C(O)[C@H]1NC[C@@H](C1)O,C5H9NO3
O=C(OC1C2CCN(C1)CC2)C(O)(c3ccccc3)c4ccccc4,C21H23NO3
O=C(N(c1ccccc1)C2CCN(CCc3ccccc3)CC2)CC,C22H28N2O
n1c(/C(/c2ccc(C)cc2)=C/CN3CCCC3)cccc1,C19H22N2
O=C1[C@@H]2Oc3c(O)ccc4c3[C@]25[C@](O)([C@H](N(CC=C)CC5)C4)CC1,C19H21NO4
OCCO,C2H6O2
O=C1O[C@H](c2cocc2)C[C@]3([C@H]1CC[C@@]4([C@@H]3C(=O)[C@@H](OC(=O)C)C[C@H]4C(=O)OC)C)C,C23H28O8
O=C(O[C@@H]1C[C@H]2N(C)[C@@H](C1)CC2)C(c3ccccc3)CO,C17H23NO3
C(CCCC)CCC,C8H18
C(CCC)CCC,C7H16
O=C1N([C@H](C(=O)N[C@H](C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N(C)[C@H](C(N[C@H](C(N[C@@H](C(N([C@H](C(N([C@H](C(N([C@H]1C(C)C)C)=O)CC(C)C)C)=O)CC(C)C)C)=O)C)=O)C)=O)CC(C)C)C(C)C)CC(C)C)C)C)CC)[C@H](O)[C@@H](C/C=C/C)C)C,C62H111N11O12
O=C(O)CCCCCCC/C=C\C/C=C\C/C=C\CC,C18H30O2
O=C(O)[C@@H](c1ccc(CC(C)C)cc1)C,C13H18O2
O=C(CC)C,C4H8O
OCC[N+](C)(C)C,C5H14NO
O=C1N2[C@H](C(=O)O[C@H](/C(=C\[C@H]3C[C@@H](OC)[C@H](O)CC3)/C)[C@@H]([C@@H](O)CC(=O)[C@H](CC=C)C=C(C[C@@H](C[C@@H]([C@H]4O[C@](C1=O)(O)[C@@H](C[C@@H]4OC)C)OC)C)C)C)CCCC2,C44H69NO12
O=c1n(-c2c(cccc2)C)c(nc3c1cccc3)C,C16H14N2O
O(c1ccc(C(=N)N)cc1)CCCCCOc2ccc(C(=N)N)cc2,C19H24N4O2
CC,C2H6
O=C1OC(=O)[C@]2([C@@]1([C@H]3O[C@@H]2CC3)C)C,C10H12O4
c1(ccccc1)C=C,C8H8
O=C1[C@@H]([C@H]2C[C@]2(C1)C(C)C)C,C10H16O
O=C1[C@H]([C@H]2C[C@]2(C1)C(C)C)C,C10H16O
O=C(O)C(NO)CCCCN,C6H14N2O3
O=C(O)C(O)C,C3H6O3
OC(CO)CO,C3H8O3
O=C(OC)[C](C)C,C5H9O2
C(C)(C)C,C4H10
O=C1N2c3c(cccc3)[C@@]45[C@@H]2[C@H]6[C@@H]7C(=CCO[C@H]6C1)CN([C@H]4C7)CC5,C21H22N2O2
N(N)(C)C,C2H8N2
O=Cc1c(O)c(O)c(C(C)C)c2c1c(O)c(-c3c(O)c4c(c(c(O)c(c4C=O)O)C(C)C)cc3C)c(C)c2,C30H30O8
O=C1C=C2C(=C3[C@@H](c4ccc(N(C)C)cc4)C[C@@]5([C@](O)(C#CC)CC[C@H]5[C@@H]3CC2)C)CC1,C29H35NO2
O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,C10H16N2O8
N=1C2=CC3=NC(C4NC(=CC5=NC(=CC1CC2)CC5)CC4)CC3,C19H22N4
[nH]1cccc1,C4H5N
n1c2cc3[nH]c(cc4nc(cc5[nH]c(cc1C=C2)cc5)CC4)cc3,C20H16N4
O[C@H](c1ccccc1)[C@@H](NC)C,C10H15NO
O=C1N[C@H](C(=O)N[C@H](C(=O)N2[C@H](C(=O)N)CCC2)Cc3[nH]cnc3)CC1,C16H22N6O4
O=C(O)CCCN,C4H9NO2
O([C@@H]1C[C@H]2N(C)[C@@H](C1)CC2)C(c3ccccc3)c4ccccc4,C21H25NO
O(c1c2c(ccc1)cccc2)CC(O)CNC(C)C,C16H21NO2
O=[N+]([O-])[N+](=O)[O-],N2O4
O=C1O[C@@H]([C@@](O)([C@H](O)[C@H](C(=O)[C@H](C)C[C@]([C@@H]([C@H]([C@@H]([C@H]1C)O[C@@H]2O[C@H]([C@H](O)[C@@](C2)(OC)C)C)C)O[C@@H]3O[C@@H](C[C@@H]([C@H]3O)N(C)C)C)(OC)C)C)C)CC,C38H69NO13
O=C(N1CCN(C)CC1)N(CC)CC,C10H21N3O
O=C1NC(=O)CCC1(c2ccccc2)CC,C13H15NO2
O=CCCCC=O,C5H8O2
O=C([O-])C,C2H3O2
O=c1n(cc(C)c([nH]1)=O)[C@@H]2O[C@H](CO)[C@H](C2)N=[N+]=[N-],C10H13N5O4
O=C1C=C2[C@]([C@H]3C(=O)C[C@@]4([C@@](O)(C(=O)CO)CC[C@H]4[C@@H]3CC2)C)(C)CC1,C21H28O5
O=C(OC)C(c1ccccc1)C2NCCCC2,C14H19NO2
C(C#C)#C,C4H2
O=C[C@]1(O)[C@@H](O[C@@H]2O[C@H]([C@H](O)[C@H]([C@@H]2NC)O)CO)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@H]([C@@H]3N=C(N)N)O)O[C@H]1C,C21H39N7O12
O1[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO)O,C12H22O11
N(c1ccccc1)(C)C,C8H11N
O=[N+](OOC(=O)C)[O-],C2H3NO5
O[C@H]([C@@H](O)CO)[C@H](O)CO,C5H12O5
O=C(O[C@@H]1[C@]23[C@H]([C@]([C@]45O[C@]4([C@@H]6[C@@]7(O)C=CO[C@H]7O[C@H]5C6)C)([C@H](O)[C@H]8[C@H]2[C@](C(=O)OC)(CO8)[C@@H](C1)OC(=O)C)C)[C@@](O)(C(=O)OC)OC3)/C(=C/C)/C,C35H44O16
O=C(O[C@@H]1C[C@H]2N(C)[C@@H](C1)CC2)[C@@H](c3ccccc3)CO,C17H23NO3
Oc1cc2c([C@@H]3[C@H]([C@H]4[C@]([C@@H](O)CC4)(C)CC3)CC2)cc1,C18H24O2
O=Cc1cc(OC)c(O)cc1,C8H8O3
OC(CO)C,C3H8O2
O=C(O)/C=C(\C=C\C=C(\C=C\C1=C(CCCC1(C)C)C)/C)/C,C20H28O2
O=C(O)CCC,C4H8O2
O=C1c2c(O)c(O)ccc2C(=O)c3c1cccc3,C14H8O4
O=C1OC(c2ccc(Oc3ccccc3)cc2)(C)C(N1Nc4ccccc4)=O,C22H18N2O4
O=[N],NO
O=c1oc2c(cccc2)c(c1C(c3ccccc3)CC(=O)C)O,C19H16O4
O=N[O],NO2
O=[N+][O-],NO2
O1[C@]2(O[C@@H]3[C@@H]4[C@@H](O)N=C(N[C@@]4([C@@H]2O)[C@@H]([C@H]1[C@]3(O)CO)O)N)O,C11H17N3O8
O1CCCC1,C4H8O
O1[C@@H](C[C@H]([C@@H]1C)O)C[N+](C)(C)C,C9H20NO2
O=C(O)C(O)CC(=O)O,C4H6O5
O=[N+]([O-])C,CH3NO2
O=C1OC(c2ccc(O)cc2)(c3ccc(O)cc3)c4c1cccc4,C20H14O4
O=C1c2c(O)ccc(c2C[C@@H]3C1=C(O)[C@]4(O)C(=O)C(=C(O)[C@H]([C@@H]4C3)N(C)C)C(=O)N)N(C)C,C23H27N3O7
O(c1cc(ccc1)[C@]2(O)[C@H](CCCC2)CN(C)C)C,C16H25NO2
O=C1N[C@@H](CC2=N/C(=C\c3[nH]c(C[C@@H]4NC(=O)[C@@H]([C@H]4CC)C)c(c3CCC(=O)O)C)/C(=C2C)CCC(=O)O)[C@@H]([C@H]1CC)C,C33H46N4O6
O=C1OC=C(C)[C@@H]2[C@H]1[C@H](CC2)C,C10H14O2
N=C(N(C)C)NC(=N)N,C4H11N5
N1=C(NCC1)Cc2c(cc(C(C)(C)C)cc2C)C,C16H24N2
O1[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@H]([C@H]3O)O[C@H]4O[C@H]([C@@H](O)[C@@H]([C@H]4N)O)CN)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]([C@H]1CN)O,C23H46N6O13
O1[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@@](O)(C)[C@@H]([C@H]3O)NC)[C@H](N)C[C@@H]2N)[C@H](N)CC[C@H]1C(NC)C,C21H43N5O7
Oc1ncnc2c1cn[nH]2,C5H4N4O
O=C(O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,C20H32O2
O=C(OC(COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC,C57H110O6
N(N)C,CH6N2
O=C([O-])CC(O)C[N+](C)(C)C,C7H15NO3
O=C1C2(C(C)(C)C(C1)CC2)C,C10H16O
N([C@H](Cc1ccccc1)C)(Cc2ccccc2)C,C17H21N
O=C(NCCc1c2c(ccc(c2)OC)[nH]c1)C,C13H16N2O2
O=C(N[C@H](C(=O)O)CCC(=O)O)c1ccc(N(Cc2nc3c(nc(N)nc3N)nc2)C)cc1,C20H22N8O5
O=C(c1ccccc1)c2ccccc2,C13H10O
N(CCC[C@]12c3c(cccc3)[C@H](c4c1cccc4)CC2)C,C20H23N
O=C(c1c(O)cc(OC)cc1)c2ccccc2,C14H12O3
O=C(c1c(O)cc(OC)cc1)c2c(O)cccc2,C14H12O4
c12c(cc3ccccc3c1)cccc2,C14H10
O=C(c1ccccc1)C(NC)C,C10H13NO
O=C(O)c1cc(O)c(O)c(c1)O,C7H6O5
Oc1ccc(/C(=C(/c2ccc(O)cc2)\CC)/CC)cc1,C18H20O2
O=C(OCCN(CC)CC)c1ccc(N)cc1,C13H20N2O2
O=C(Nc1c(cccc1C)C)CN(CC)CC,C14H22N2O
Nc1ccccc1,C6H7N
O=C(O)c1ccc(N)cc1,C7H7NO2
O=C(O)CCCCCCCCCCC/C=C\CCCCCCCC,C22H42O2
Oc1cc(O)cc(c1)C(O)CNC(C)(C)C,C12H19NO3
O1CC1,C2H4O
N#CC=C,C3H3N
N(N)CCc1ccccc1,C8H12N2
n1c2c(ccc1)cccc2,C9H7N
ON,H3NO
O=[N+]([O-])c1n(c(C)nc1)CCO,C6H9N3O3
O=C(O)CC,C3H6O2
O1c2c(cc(CCC)c(c2)COCCOCCOCCCC)OC1,C19H30O5
O[C@H]1[C@H](C(C)C)CC[C@H](C1)C,C10H20O
O=C1[C@@H]2Oc3c(O)ccc4c3[C@]25[C@H]([C@H](N(C)CC5)C4)CC1,C17H19NO3
O=C(c1c(O)cc(O[C@@H]2O[C@@H]([C@@H](O)[C@@H]([C@H]2O[C@@H]3O[C@H]([C@H](O)[C@H]([C@H]3O)O)C)O)CO)cc1O)CCc4cc(O)c(OC)cc4,C28H36O15
O=C(/C=C/c1cc(OC)c(O)cc1)CC(=O)/C=C/c2cc(OC)c(O)cc2,C21H20O6
O=C(O)CN(C(=N)N)C,C4H9N3O2
N#CC(c1cc(cc(c1)Cn2ncnc2)C(C#N)(C)C)(C)C,C17H19N5
c1(cc(cc(c1)C)C)C,C9H12
O=C1OCC(=C1)[C@@H]2[C@@]3([C@@](O)([C@H]4[C@@H]([C@@]5([C@@H](C[C@@H](O[C@@H]6O[C@@H]([C@@H](O[C@@H]7O[C@@H]([C@@H](O[C@@H]8O[C@@H]([C@@H](O)[C@H](C8)O)C)[C@H](C7)O)C)[C@H](C6)O)C)CC5)CC4)C)C[C@H]3O)CC2)C,C41H64O14
O=C1OCC(=C1)[C@@H]2[C@@]3([C@@](O)([C@H]4[C@@H]([C@@]5([C@@H](C[C@@H](O[C@@H]6O[C@@H]([C@@H](O[C@@H]7O[C@@H]([C@@H](O[C@@H]8O[C@@H]([C@@H](O)[C@H](C8)O)C)[C@H](C7)O)C)[C@H](C6)O)C)CC5)CC4)C)CC3)CC2)C,C41H64O13
O=C1C=C2[C@]([C@H]3[C@@H](O)C[C@@]4([C@@](O)(C(=O)CO)CC[C@H]4[C@@H]3CC2)C)(C)CC1,C21H30O5
O=C1O[C@H]([C@@H](O)C=O)[C@@H]([C@@H]1O)O,C6H8O6
O=C(O)CCCCCCCCCCCCCCCCC,C18H36O2
O=C(OCC)N,C3H7NO2
Oc1cc(O)cc(c1)/C=C/c2ccc(O)cc2,C14H12O3
O=C(O)c1c(C(=O)O)cccc1,C8H6O4
O=C(N(CC)CC)c1cc(ccc1)C,C12H17NO
O=C1OC(=O)c2c1cccc2,C8H4O3
